id;BarLong;BarLat;Rayon;Weight;NbDays;Month;Year;Id
1;49.1629861111;13.191875;47.973162423;4.0;25.0;10;2010;2010-10_1_G
2;55.1916666667;13.6166666666;128.608970411;2.0;2.0;10;2010;2010-10_2_G
3;47.8508333333;12.7113888889;96.3059944234;3.0;16.0;1;2010;2010-01_1_G
4;47.9083333334;13.0333333334;93.6232009797;2.0;2.0;2;2010;2010-02_1_G
5;43.4333333333;12.5347222222;0.0;1.0;0.0;2;2010;2010-02_2_G
6;44.3372222222;13.1306111111;259.066144654;5.0;27.0;3;2010;2010-03_1_G
7;48.9672222222;13.1922222222;24.5400772821;2.0;2.0;3;2010;2010-03_2_G
8;55.0183333333;14.9344444444;0.0;1.0;0.0;3;2010;2010-03_3_G
9;54.5754166666;14.6925;29.1820075833;2.0;17.0;5;2010;2010-05_1_G
10;43.8922222222;12.2593055556;24.8185921521;2.0;11.0;5;2010;2010-05_2_G
11;48.15;12.9055555556;116.751921338;3.0;25.0;5;2010;2010-05_3_G
12;49.95;13.5166666667;42.3559697396;3.0;26.0;6;2010;2010-06_1_G
13;43.1054040404;13.071969697;135.615814698;11.0;25.0;6;2010;2010-06_2_G
14;42.3005555555;14.3503333333;115.120665174;5.0;17.0;7;2010;2010-07_1_G
15;49.2431746032;13.2388888889;125.451825595;7.0;26.0;8;2010;2010-08_1_G
16;43.6761111111;13.0160416667;236.305620568;4.0;8.0;8;2010;2010-08_2_G
17;41.4186111111;15.8016666667;0.0;1.0;0.0;8;2010;2010-08_3_G
18;49.8093055555;13.4583333333;18.3185221764;2.0;2.0;9;2010;2010-09_1_G
19;43.1686111111;12.9;0.0;1.0;0.0;9;2010;2010-09_2_G
20;48.7272222222;13.7891666667;49.0979154694;2.0;13.0;11;2010;2010-11_1_G
21;53.95;14.8333333333;0.0;1.0;0.0;11;2010;2010-11_2_G
22;51.4508333333;13.9736111111;45.5074137307;3.0;3.0;4;2010;2010-04_1_G
23;55.6338888889;13.6352777778;0.0;1.0;0.0;4;2010;2010-04_2_G
24;42.9759722222;13.7836111111;2.98548076175;2.0;0.0;4;2010;2010-04_3_G
25;47.3833333333;12.7;0.0;1.0;0.0;4;2010;2010-04_4_G
26;49.8001388889;13.5088888889;148.767435074;2.0;0.0;12;2010;2010-12_1_G
27;51.3925;12.9333333333;1.42906209303;2.0;0.0;2;2008;2008-02_1_G
28;51.0458333334;13.0836111111;139.948720826;3.0;13.0;3;2008;2008-03_1_G
29;49.6353240741;13.5639351852;85.6313179578;6.0;27.0;4;2008;2008-04_1_G
30;49.7026388889;13.3196296296;194.789299765;6.0;9.0;5;2008;2008-05_1_G
31;50.0937962963;13.1985185185;108.548081454;3.0;5.0;7;2008;2008-07_1_G
32;43.4183333333;12.5675;0.0;1.0;0.0;7;2008;2008-07_2_G
33;50.1135185185;13.9281944444;55.8991798572;6.0;15.0;8;2008;2008-08_1_G
34;47.8245370371;12.9752777778;135.359408584;3.0;10.0;8;2008;2008-08_2_G
35;46.9588888889;12.8879861111;157.544665611;8.0;5.0;9;2008;2008-09_1_G
36;49.2866161616;13.5372727273;185.980414384;11.0;24.0;9;2008;2008-09_2_G
37;50.9364814815;14.2744444445;109.800740271;3.0;6.0;10;2008;2008-10_1_G
38;48.4158680555;13.1672222222;90.7747562987;8.0;27.0;10;2008;2008-10_2_G
39;46.3836111111;12.8818333333;102.994419715;5.0;19.0;10;2008;2008-10_3_G
40;49.6782986111;13.9534722222;159.252795045;8.0;20.0;11;2008;2008-11_1_G
41;46.1011111111;12.8440625;216.882393424;8.0;27.0;11;2008;2008-11_2_G
42;48.1112962963;13.3758333333;75.7394058217;6.0;28.0;12;2008;2008-12_1_G
43;50.4378472222;14.1258333334;131.480895497;4.0;9.0;12;2008;2008-12_2_G
44;48.9516666666;12.9270833333;101.225105338;2.0;18.0;6;2008;2008-06_1_G
45;50.6890740741;14.2745679012;137.006457056;9.0;28.0;1;2009;2009-01_1_G
46;44.7622222222;12.59;66.9323169522;3.0;26.0;1;2009;2009-01_2_G
47;47.6746825397;13.3435714286;115.362230755;7.0;13.0;1;2009;2009-01_3_G
48;54.27625;12.5834722222;141.250479866;2.0;10.0;2;2009;2009-02_1_G
49;48.5105555556;13.0743981481;169.263545077;6.0;14.0;2;2009;2009-02_2_G
50;43.5166666667;12.1833333333;0.0;1.0;0.0;2;2009;2009-02_3_G
51;49.2380555556;13.2840277778;60.8181632691;4.0;17.0;3;2009;2009-03_1_G
52;43.1778888889;12.9377222222;120.373838653;5.0;22.0;3;2009;2009-03_2_G
53;46.166875;12.2501388889;146.223920977;4.0;27.0;3;2009;2009-03_3_G
54;51.450625;14.0006944444;26.2922979985;4.0;23.0;4;2009;2009-04_1_G
55;46.2107222222;12.3435;51.9163828582;5.0;17.0;4;2009;2009-04_2_G
56;48.2403125;12.9800694444;101.765715277;8.0;20.0;4;2009;2009-04_3_G
57;46.1835185185;12.2400925926;48.2188788126;3.0;22.0;5;2009;2009-05_1_G
58;43.225;13.0166666666;44.4745556611;2.0;21.0;5;2009;2009-05_2_G
59;51.25;14.2;81.5817599096;3.0;10.0;5;2009;2009-05_3_G
60;48.9640277778;13.1478968254;101.687964134;14.0;26.0;5;2009;2009-05_4_G
61;50.7166666667;13.7333333333;0.0;1.0;0.0;7;2009;2009-07_1_G
62;43.9008333333;12.3355555556;0.0;1.0;0.0;7;2009;2009-07_2_G
63;48.3416666667;12.9333333333;25.1410919338;2.0;21.0;12;2009;2009-12_1_G
64;54.3005555556;14.4344444444;0.0;1.0;0.0;12;2009;2009-12_2_G
65;49.56375;13.2812037037;125.979238212;6.0;21.0;6;2009;2009-06_1_G
66;43.3368055556;12.7173611111;29.955802844;6.0;6.0;6;2009;2009-06_2_G
67;41.4019444444;16.0;0.0;1.0;0.0;6;2009;2009-06_3_G
68;48.9270833333;13.2576388889;201.661419439;4.0;23.0;8;2009;2009-08_1_G
69;50.0021428571;13.5973015873;213.93142849;7.0;8.0;9;2009;2009-09_1_G
70;41.5666666667;15.4833333333;0.0;1.0;0.0;9;2009;2009-09_2_G
71;45.65;12.25;0.0;1.0;0.0;9;2009;2009-09_3_G
72;44.7694444445;12.1948611112;76.0673351282;2.0;5.0;10;2009;2009-10_1_G
73;50.4842592593;13.5950925926;87.9983750336;3.0;26.0;10;2009;2009-10_2_G
74;54.2345833333;14.5838888889;1.06877637052;2.0;0.0;11;2009;2009-11_1_G
75;48.5934444444;13.1895;262.890162279;5.0;14.0;11;2009;2009-11_2_G
76;55.7590277778;15.775;12.0867524198;2.0;7.0;1;2011;2011-01_1_G
77;49.0258333334;13.1502777778;23.2619073512;2.0;19.0;1;2011;2011-01_2_G
78;44.2334259259;13.1062037037;225.553630121;3.0;5.0;1;2011;2011-01_3_G
79;43.5541666666;13.2375;200.023617497;4.0;12.0;4;2011;2011-04_1_G
80;51.3110416667;14.5716666667;166.097408975;4.0;21.0;4;2011;2011-04_2_G
81;54.0833333333;11.9;0.0;1.0;0.0;4;2011;2011-04_3_G
82;42.9131349206;13.6323809524;126.94623365;7.0;18.0;9;2011;2011-09_1_G
83;52.2333333333;15.45;0.0;1.0;0.0;9;2011;2011-09_2_G
84;43.6006944444;12.7341666667;64.9840984274;2.0;9.0;2;2011;2011-02_1_G
85;55.1011111112;16.0008333333;74.2171434543;2.0;27.0;2;2011;2011-02_2_G
86;53.0336111111;12.0;0.0;1.0;0.0;2;2011;2011-02_3_G
87;42.7500793651;13.4881746032;107.685488863;7.0;11.0;5;2011;2011-05_1_G
88;48.9622222222;13.1799074074;38.4366957591;3.0;22.0;5;2011;2011-05_2_G
89;55.6;15.1916666667;68.9067117301;2.0;9.0;5;2011;2011-05_3_G
90;42.9675308642;13.4248765432;210.292875735;9.0;17.0;7;2011;2011-07_1_G
91;49.641875;13.3338194444;200.173298905;4.0;6.0;7;2011;2011-07_2_G
92;42.8192460317;13.7638492063;155.539922637;7.0;23.0;8;2011;2011-08_1_G
93;53.825;16.525;35.2161301533;2.0;1.0;8;2011;2011-08_2_G
94;48.6227777778;13.1118518519;69.3316867132;3.0;14.0;8;2011;2011-08_3_G
95;47.1833333333;12.5083333334;185.723571661;2.0;29.0;10;2011;2011-10_1_G
96;52.8166666667;14.4333333333;0.0;1.0;0.0;10;2011;2011-10_2_G
97;48.3031944444;13.335;89.484911857;2.0;7.0;3;2011;2011-03_1_G
98;53.9597222222;15.6506944445;211.339133417;2.0;24.0;3;2011;2011-03_2_G
99;43.9166666667;12.375;15.9949897308;2.0;10.0;11;2011;2011-11_1_G
100;55.0688888889;15.8169444444;0.0;1.0;0.0;11;2011;2011-11_2_G
101;42.6817460318;13.6292857143;59.9652971556;7.0;23.0;6;2011;2011-06_1_G
102;50.4511111111;13.5508333333;0.0;1.0;0.0;6;2011;2011-06_2_G
103;47.05;12.6;0.0;1.0;1.0;12;2011;2011-12_1_G
104;43.3805;12.6637222222;36.6695367605;5.0;21.0;2;2012;2012-02_1_G
105;54.9333333333;15.0166666667;0.0;1.0;0.0;2;2012;2012-02_2_G
106;50.3666666667;13.5;0.0;1.0;0.0;2;2012;2012-02_3_G
107;49.1572222222;11.3002777778;0.0;1.0;1.0;12;2012;2012-12_1_G
108;50.2;13.4722222222;270.03761834;3.0;15.0;3;2012;2012-03_1_G
109;43.4355555556;12.5347222222;0.0;1.0;0.0;3;2012;2012-03_2_G
110;52.5176388889;14.8090277777;50.2507469667;2.0;7.0;4;2012;2012-04_1_G
111;43.3344444444;13.4502777777;191.871176466;2.0;4.0;4;2012;2012-04_2_G
112;43.8067592593;12.5512962963;98.3887624573;3.0;20.0;1;2012;2012-01_1_G
113;55.7333333333;13.5333333333;0.0;1.0;0.0;1;2012;2012-01_2_G
114;49.2;13.1666666667;0.0;1.0;0.0;1;2012;2012-01_3_G
115;43.3794444444;12.822962963;75.406037428;3.0;6.0;6;2012;2012-06_1_G
116;54.6405555556;14.3830555556;0.0;1.0;0.0;6;2012;2012-06_2_G
117;43.0833333333;13.3083333333;51.5144614791;2.0;11.0;5;2012;2012-05_1_G
118;42.65;13.5666666667;0.0;1.0;1.0;7;2012;2012-07_1_G
119;50.6506481481;13.267037037;122.029843919;3.0;24.0;3;2013;2013-03_1_G
120;49.25;11.6;0.0;1.0;1.0;6;2013;2013-06_1_G
121;44.3333333333;12.2;0.0;1.0;1.0;5;2013;2013-05_1_G
122;43.0583333333;13.3166666667;13.0707898511;2.0;8.0;7;2013;2013-07_1_G
123;47.8422222223;12.8506944444;3.12464504149;2.0;0.0;12;2013;2013-12_1_G
124;54.3833333333;15.1;0.0;1.0;1.0;1;2014;2014-01_1_G
125;43.6166666667;12.4671296296;22.4781189674;3.0;12.0;4;2014;2014-04_1_G
126;55.5341666667;13.9691666667;0.0;1.0;0.0;4;2014;2014-04_2_G
127;43.5333333333;12.4;0.0;1.0;1.0;2;2014;2014-02_1_G
128;53.3166666667;14.3333333333;0.0;1.0;0.0;3;2014;2014-03_1_G
129;42.8666666667;13.3;0.0;1.0;0.0;3;2014;2014-03_2_G
130;43.2338888889;12.8683333333;0.0;1.0;1.0;8;2014;2014-08_1_G
131;42.0;15.1;0.0;1.0;1.0;12;2014;2014-12_1_G
132;61.6166666667;10.7833333333;0.0;1.0;1.0;1;2010;2010-01_1_A
133;64.9261666667;13.0366111111;390.572426225;5.0;15.0;3;2010;2010-03_1_A
134;57.775;10.55;25.0790179818;2.0;1.0;3;2010;2010-03_2_A
135;58.2916666667;16.5083333334;186.338258272;2.0;21.0;3;2010;2010-03_3_A
136;65.6333333333;16.9611111111;106.835691749;3.0;2.0;4;2010;2010-04_1_A
137;58.1166666667;17.3833333334;115.649018031;2.0;16.0;4;2010;2010-04_2_A
138;57.8333333333;13.1420833333;283.696856857;4.0;7.0;4;2010;2010-04_3_A
139;60.1669444444;14.0843055556;126.76473437;2.0;7.0;5;2010;2010-05_1_A
140;65.7611111111;12.1166666667;357.409736003;3.0;3.0;10;2010;2010-10_1_A
141;58.1111111111;15.0333333333;164.388448357;3.0;6.0;11;2010;2010-11_1_A
142;66.9820138889;13.5986111111;147.796647858;8.0;17.0;11;2010;2010-11_2_A
143;65.9154166667;17.3750694444;144.386075467;4.0;18.0;11;2010;2010-11_3_A
144;61.4919444444;20.1594444445;165.42762424;2.0;5.0;11;2010;2010-11_4_A
145;62.3625;18.8083333333;118.098767941;4.0;12.0;12;2010;2010-12_1_A
146;68.3333333333;16.1666666667;0.0;1.0;0.0;12;2010;2010-12_2_A
147;61.45;12.1583333334;118.875772882;2.0;7.0;12;2010;2010-12_3_A
148;58.1340740741;16.4892592593;231.720301746;3.0;2.0;12;2010;2010-12_4_A
149;59.6841666667;21.4852777778;0.0;1.0;1.0;6;2010;2010-06_1_A
150;58.8333333333;16.5;0.0;1.0;1.0;2;2010;2010-02_1_A
151;70.0025;22.7686111111;0.0;1.0;1.0;2;2008;2008-02_1_A
152;70.0594444445;22.8031944444;2.81559597859;2.0;23.0;3;2008;2008-03_1_A
153;72.8525;18.9175;0.0;1.0;1.0;4;2008;2008-04_1_A
154;62.1777777778;11.5166666667;245.452199724;3.0;29.0;12;2009;2009-12_1_A
155;58.9333333333;20.3011111111;138.955998456;2.0;2.0;6;2009;2009-06_1_A
156;56.5622222222;13.4754166667;21.8715455832;2.0;1.0;4;2009;2009-04_1_A
157;67.2502777778;15.2297222222;0.0;1.0;0.0;4;2009;2009-04_2_A
158;58.4855555556;14.8508333333;0.0;1.0;1.0;7;2009;2009-07_1_A
159;56.4522222222;15.3333333333;0.0;1.0;1.0;9;2009;2009-09_1_A
160;58.0841666667;25.0191666667;0.0;1.0;1.0;10;2009;2009-10_1_A
161;65.4898263889;12.1901388889;169.691013204;8.0;23.0;3;2011;2011-03_1_A
162;63.7;22.7;13.7090880169;2.0;0.0;3;2011;2011-03_2_A
163;70.0391666667;22.8216666667;0.0;1.0;0.0;3;2011;2011-03_3_A
164;58.7944444445;12.75;114.927017474;3.0;13.0;3;2011;2011-03_4_A
165;62.1818888889;17.1362222222;200.547009991;5.0;17.0;3;2011;2011-03_5_A
166;57.9287037037;17.917037037;212.250208208;3.0;25.0;3;2011;2011-03_6_A
167;63.935308642;20.4408641975;148.643565625;9.0;17.0;1;2011;2011-01_1_A
168;60.3833333333;25.0333333333;0.0;1.0;0.0;1;2011;2011-01_2_A
169;65.3133333333;13.7421527778;233.072267726;4.0;20.0;1;2011;2011-01_3_A
170;62.2919444444;12.0753472222;145.980102919;4.0;12.0;1;2011;2011-01_4_A
